full_rating,full_score,rank,title,url
" 4.07 avg rating — 785,502 ratings","
score: 28,539,
              and
292 people voted
               
              
            ",1,"
The Handmaid's Tale
",/book/show/38447.The_Handmaid_s_Tale
" 4.34 avg rating — 5,212,935 ratings","
score: 27,566,
              and
282 people voted
               
              
            ",2,"
The Hunger Games (The Hunger Games, #1)
",/book/show/2767052-the-hunger-games
" 3.76 avg rating — 922,308 ratings","
score: 20,049,
              and
205 people voted
               
              
            ",3,"
Frankenstein, or The Modern Prometheus
",/book/show/18490.Frankenstein_or_The_Modern_Prometheus
" 4.04 avg rating — 702,272 ratings","
score: 17,684,
              and
185 people voted
               
              
            ",4,"
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)
",/book/show/18131.A_Wrinkle_in_Time
" 4.06 avg rating — 77,664 ratings","
score: 16,070,
              and
165 people voted
               
              
            ",5,"
The Left Hand of Darkness
",/book/show/18423.The_Left_Hand_of_Darkness
" 4.23 avg rating — 2,345,974 ratings","
score: 12,935,
              and
134 people voted
               
              
            ",6,"
Divergent (Divergent, #1)
",/book/show/13335037-divergent
" 4.30 avg rating — 2,049,239 ratings","
score: 12,261,
              and
128 people voted
               
              
            ",7,"
Catching Fire (The Hunger Games, #2)
",/book/show/6148028-catching-fire
" 4.12 avg rating — 1,379,452 ratings","
score: 11,238,
              and
117 people voted
               
              
            ",8,"
The Giver (The Giver, #1)
",/book/show/3636.The_Giver
" 4.19 avg rating — 57,605 ratings","
score: 10,246,
              and
107 people voted
               
              
            ",9,"
The Dispossessed
",/book/show/13651.The_Dispossessed
" 4.20 avg rating — 53,473 ratings","
score: 9,907,
              and
104 people voted
               
              
            ",10,"
Kindred
",/book/show/60931.Kindred
"really liked it 4.00 avg rating — 176,024 ratings","
score: 9,628,
              and
102 people voted
               
              
            ",11,"
Oryx and Crake (MaddAddam, #1)
",/book/show/46756.Oryx_and_Crake
" 4.03 avg rating — 1,932,930 ratings","
score: 9,423,
              and
100 people voted
               
              
            ",12,"
Mockingjay (The Hunger Games, #3)
",/book/show/7260188-mockingjay
" 3.95 avg rating — 1,355,662 ratings","
score: 8,250,
              and
88 people voted
               
              
            ",13,"
The Time Traveler's Wife
",/book/show/18619684-the-time-traveler-s-wife
" 4.03 avg rating — 38,534 ratings","
score: 8,175,
              and
88 people voted
               
              
            ",14,"
Doomsday Book (Oxford Time Travel, #1)
",/book/show/24983.Doomsday_Book
" 4.10 avg rating — 36,316 ratings","
score: 7,523,
              and
81 people voted
               
              
            ",15,"
The Lathe of Heaven
",/book/show/59924.The_Lathe_of_Heaven
" 4.17 avg rating — 46,116 ratings","
score: 6,571,
              and
69 people voted
               
              
            ",16,"
The Sparrow (The Sparrow, #1)
",/book/show/334176.The_Sparrow
" 4.12 avg rating — 22,554 ratings","
score: 6,418,
              and
68 people voted
               
              
            ",17,"
Shards of Honour  (Vorkosigan Saga, #1)
",/book/show/61903.Shards_of_Honour
" 3.97 avg rating — 53,063 ratings","
score: 6,257,
              and
70 people voted
               
              
            ",18,"
Ancillary Justice (Imperial Radch, #1)
",/book/show/17333324-ancillary-justice
" 4.10 avg rating — 106,206 ratings","
score: 6,238,
              and
68 people voted
               
              
            ",19,"
Dragonflight (Dragonriders of Pern, #1)
",/book/show/61975.Dragonflight
" 4.14 avg rating — 31,668 ratings","
score: 5,999,
              and
64 people voted
               
              
            ",20,"
Parable of the Sower (Earthseed, #1)
",/book/show/52397.Parable_of_the_Sower
" 4.13 avg rating — 26,705 ratings","
score: 5,933,
              and
64 people voted
               
              
            ",21,"
To Say Nothing of the Dog (Oxford Time Travel, #2)
",/book/show/77773.To_Say_Nothing_of_the_Dog
" 4.29 avg rating — 18,831 ratings","
score: 5,698,
              and
61 people voted
               
              
            ",22,"
The Warrior's Apprentice (Vorkosigan Saga, #2)
",/book/show/61906.The_Warrior_s_Apprentice
" 4.31 avg rating — 20,045 ratings","
score: 5,046,
              and
54 people voted
               
              
            ",23,"
Barrayar (Vorkosigan Saga, #7)
",/book/show/61905.Barrayar
" 3.84 avg rating — 793,665 ratings","
score: 5,012,
              and
53 people voted
               
              
            ",24,"
The Host (The Host, #1)
",/book/show/1656001.The_Host
" 4.06 avg rating — 979,341 ratings","
score: 4,899,
              and
54 people voted
               
              
            ",25,"
Insurgent (Divergent, #2)
",/book/show/11735983-insurgent
" 3.69 avg rating — 33,313 ratings","
score: 4,413,
              and
48 people voted
               
              
            ",26,"
The Children of Men
",/book/show/41913.The_Children_of_Men
" 4.44 avg rating — 12,743 ratings","
score: 4,398,
              and
48 people voted
               
              
            ",27,"
Memory (Vorkosigan Saga, #10)
",/book/show/61880.Memory
" 3.88 avg rating — 1,466 ratings","
score: 4,394,
              and
45 people voted
               
              
            ",28,"
Starshine: Aurora Rising Book One (Aurora Rhapsody, #1)
",/book/show/21534331-starshine
" 4.08 avg rating — 16,555 ratings","
score: 4,249,
              and
47 people voted
               
              
            ",29,"
Crystal Singer (Crystal Singer, #1)
",/book/show/653711.Crystal_Singer
" 4.06 avg rating — 81,801 ratings","
score: 4,245,
              and
46 people voted
               
              
            ",30,"
The Year of the Flood  (MaddAddam, #2)
",/book/show/6080337-the-year-of-the-flood
" 4.32 avg rating — 15,929 ratings","
score: 3,931,
              and
45 people voted
               
              
            ",31,"
Mirror Dance (Vorkosigan Saga, #8)
",/book/show/61909.Mirror_Dance
" 4.21 avg rating — 11,887 ratings","
score: 3,748,
              and
42 people voted
               
              
            ",32,"
Wild Seed (Patternmaster, #1)
",/book/show/52318.Wild_Seed
" 4.28 avg rating — 17,287 ratings","
score: 3,706,
              and
44 people voted
               
              
            ",33,"
The Vor Game (Vorkosigan Saga, #6)
",/book/show/68483.The_Vor_Game
" 4.31 avg rating — 10,614 ratings","
score: 3,691,
              and
42 people voted
               
              
            ",34,"
Lilith's Brood (Xenogenesis, #1-3)
",/book/show/60926.Lilith_s_Brood
" 4.20 avg rating — 12,113 ratings","
score: 3,566,
              and
42 people voted
               
              
            ",35,"
Brothers in Arms (Vorkosigan Saga, #5)
",/book/show/296182.Brothers_in_Arms
" 4.07 avg rating — 97,180 ratings","
score: 3,507,
              and
40 people voted
               
              
            ",36,"
A Wind in the Door (A Wrinkle in Time Quintet, #2)
",/book/show/18130.A_Wind_in_the_Door
" 4.43 avg rating — 13,283 ratings","
score: 3,503,
              and
41 people voted
               
              
            ",37,"
A Civil Campaign (Vorkosigan Saga, #12)
",/book/show/61899.A_Civil_Campaign
" 4.17 avg rating — 13,469 ratings","
score: 3,432,
              and
41 people voted
               
              
            ",38,"
Cetaganda (Vorkosigan Saga, #9)
",/book/show/76812.Cetaganda
 3.87 avg rating — 181 ratings,"
score: 3,340,
              and
34 people voted
               
              
            ",39,"
Dragon Dawn (Dinosaurian Time Travel, #1)
",/book/show/20550685-dragon-dawn
" 3.95 avg rating — 10,410 ratings","
score: 3,338,
              and
40 people voted
               
              
            ",40,"
The Snow Queen (The Snow Queen Cycle, #1)
",/book/show/139986.The_Snow_Queen
"really liked it 4.00 avg rating — 19,761 ratings","
score: 3,287,
              and
38 people voted
               
              
            ",41,"
The Ship Who Sang (Brainship, #1)
",/book/show/203288.The_Ship_Who_Sang
" 3.90 avg rating — 11,041 ratings","
score: 3,159,
              and
37 people voted
               
              
            ",42,"
Downbelow Station (The Company Wars #1)
",/book/show/57045.Downbelow_Station
" 3.83 avg rating — 14,438 ratings","
score: 2,967,
              and
36 people voted
               
              
            ",43,"
Falling Free (Vorkosigan Saga, #4)
",/book/show/61915.Falling_Free
" 4.15 avg rating — 499,319 ratings","
score: 2,868,
              and
32 people voted
               
              
            ",44,"
Cinder (The Lunar Chronicles, #1)
",/book/show/11235712-cinder
" 3.75 avg rating — 10,360 ratings","
score: 2,816,
              and
35 people voted
               
              
            ",45,"
Ethan of Athos (Vorkosigan Saga, #3)
",/book/show/990093.Ethan_of_Athos
" 4.24 avg rating — 40,917 ratings","
score: 2,744,
              and
32 people voted
               
              
            ",46,"
Dragonsong (Harper Hall, #1)
",/book/show/28541.Dragonsong
 4.17 avg rating — 289 ratings,"
score: 2,687,
              and
28 people voted
               
              
            ",47,"
Shadow Over Avalon
",/book/show/22677216-shadow-over-avalon
" 4.13 avg rating — 85,750 ratings","
score: 2,550,
              and
29 people voted
               
              
            ",48,"
A Swiftly Tilting Planet (A Wrinkle in Time Quintet, #3)
",/book/show/77276.A_Swiftly_Tilting_Planet
" 3.95 avg rating — 6,416 ratings","
score: 2,547,
              and
30 people voted
               
              
            ",49,"
Foreigner (Foreigner, #1)
",/book/show/57043.Foreigner
" 4.29 avg rating — 11,819 ratings","
score: 2,491,
              and
30 people voted
               
              
            ",50,"
Komarr (Vorkosigan Saga, #11)
",/book/show/61884.Komarr
" 3.92 avg rating — 5,523 ratings","
score: 2,383,
              and
30 people voted
               
              
            ",51,"
The Pride of Chanur (Chanur #1)
",/book/show/1197129.The_Pride_of_Chanur
" 4.11 avg rating — 17,914 ratings","
score: 2,376,
              and
28 people voted
               
              
            ",52,"
Dawn (Xenogenesis, #1)
",/book/show/60929.Dawn
" 3.99 avg rating — 8,692 ratings","
score: 2,368,
              and
30 people voted
               
              
            ",53,"
Cyteen (Cyteen, #1-3)
",/book/show/834518.Cyteen
" 3.87 avg rating — 7,366 ratings","
score: 2,356,
              and
28 people voted
               
              
            ",54,"
Where Late the Sweet Birds Sang
",/book/show/968827.Where_Late_the_Sweet_Birds_Sang
" 4.21 avg rating — 2,836 ratings","
score: 2,326,
              and
27 people voted
               
              
            ",55,"
Her Smoke Rose Up Forever
",/book/show/27059.Her_Smoke_Rose_Up_Forever
" 4.03 avg rating — 3,158 ratings","
score: 2,320,
              and
27 people voted
               
              
            ",56,"
The Silver Metal Lover (Silver Metal Lover, #1)
",/book/show/567708.The_Silver_Metal_Lover
" 4.24 avg rating — 8,156 ratings","
score: 2,306,
              and
29 people voted
               
              
            ",57,"
Borders of Infinity (Vorkosigan Saga [Publication] #5.1-5.3)
",/book/show/76811.Borders_of_Infinity
" 4.37 avg rating — 11,054 ratings","
score: 2,283,
              and
28 people voted
               
              
            ",58,"
Cordelia's Honor (Vorkosigan Omnibus, #1)
",/book/show/61900.Cordelia_s_Honor
" 3.94 avg rating — 6,183 ratings","
score: 2,167,
              and
26 people voted
               
              
            ",59,"
Beggars in Spain (Sleepless, #1)
",/book/show/68333.Beggars_in_Spain
 4.45 avg rating — 124 ratings,"
score: 2,113,
              and
22 people voted
               
              
            ",60,"
Rogue Genesis (Shimmer in the Dark, #1)
",/book/show/17826638-rogue-genesis
 4.15 avg rating — 157 ratings,"
score: 2,099,
              and
21 people voted
               
              
            ",61,"
Chameleon (The Domino Project, #1)
",/book/show/25487847-chameleon
 4.36 avg rating — 187 ratings,"
score: 2,035,
              and
21 people voted
               
              
            ",62,"
Catori's Worlds
",/book/show/18858741-catori-s-worlds
" 3.77 avg rating — 4,682 ratings","
score: 1,999,
              and
25 people voted
               
              
            ",63,"
In the Garden of Iden (The Company, #1)
",/book/show/270490.In_the_Garden_of_Iden
" 4.04 avg rating — 8,496 ratings","
score: 1,995,
              and
24 people voted
               
              
            ",64,"
Grass (Arbai, #1)
",/book/show/104342.Grass
" 4.21 avg rating — 13,657 ratings","
score: 1,921,
              and
24 people voted
               
              
            ",65,"
Parable of the Talents (Earthseed, #2)
",/book/show/60932.Parable_of_the_Talents
" 4.17 avg rating — 11,120 ratings","
score: 1,914,
              and
26 people voted
               
              
            ",66,"
Diplomatic Immunity (Vorkosigan Saga, #13)
",/book/show/61901.Diplomatic_Immunity
 4.41 avg rating — 248 ratings,"
score: 1,906,
              and
20 people voted
               
              
            ",67,"
Armageddon Cometh (Species Intervention #6609, #3)
",/book/show/15992895-armageddon-cometh
" 4.07 avg rating — 9,842 ratings","
score: 1,891,
              and
23 people voted
               
              
            ",68,"
The Gate to Women's Country
",/book/show/104344.The_Gate_to_Women_s_Country
" 4.11 avg rating — 4,336 ratings","
score: 1,849,
              and
22 people voted
               
              
            ",69,"
The Faded Sun Trilogy (The Faded Sun #1-3)
",/book/show/57042.The_Faded_Sun_Trilogy
 3.83 avg rating — 109 ratings,"
score: 1,832,
              and
19 people voted
               
              
            ",70,"
This Changes Everything (The Spanners, #1)
",/book/show/18772075-this-changes-everything
 4.41 avg rating — 336 ratings,"
score: 1,817,
              and
19 people voted
               
              
            ",71,"
Hive (Species Intervention #6609, #4)
",/book/show/17322045-hive
" 4.02 avg rating — 206,616 ratings","
score: 1,775,
              and
20 people voted
               
              
            ",72,"
Station Eleven
",/book/show/20170404-station-eleven
 3.83 avg rating — 799 ratings,"
score: 1,772,
              and
19 people voted
               
              
            ",73,"
Baby (Species Intervention #6609, #1)
",/book/show/15992857-baby
" 3.55 avg rating — 4,568 ratings","
score: 1,740,
              and
22 people voted
               
              
            ",74,"
The Female Man
",/book/show/908311.The_Female_Man
 3.78 avg rating — 215 ratings,"
score: 1,698,
              and
17 people voted
               
              
            ",75,"
Machinations (Machinations, #1)
",/book/show/27876301-machinations
" 4.01 avg rating — 8,590 ratings","
score: 1,692,
              and
22 people voted
               
              
            ",76,"
The Speed of Dark
",/book/show/96063.The_Speed_of_Dark
 4.46 avg rating — 256 ratings,"
score: 1,687,
              and
18 people voted
               
              
            ",77,"
Evil Among Us (Species Intervention #6609, #5)
",/book/show/17936909-evil-among-us
 4.18 avg rating — 748 ratings,"
score: 1,684,
              and
18 people voted
               
              
            ",78,"
Vertigo (Aurora Rhapsody, #2)
",/book/show/23150535-vertigo
" 4.05 avg rating — 10,873 ratings","
score: 1,683,
              and
24 people voted
               
              
            ",79,"
CryoBurn (Vorkosigan Saga, #14)
",/book/show/7841670-cryoburn
" 4.32 avg rating — 3,203 ratings","
score: 1,575,
              and
19 people voted
               
              
            ",80,"
Seed to Harvest (Patternmaster, #1-4)
",/book/show/60924.Seed_to_Harvest
 4.48 avg rating — 244 ratings,"
score: 1,565,
              and
17 people voted
               
              
            ",81,"
The One (Species Intervention #6609, #6)
",/book/show/18044158-the-one
" 3.88 avg rating — 5,588 ratings","
score: 1,564,
              and
19 people voted
               
              
            ",82,"
Darkover Landfall (Darkover, #1)
",/book/show/673158.Darkover_Landfall
 4.19 avg rating — 367 ratings,"
score: 1,559,
              and
17 people voted
               
              
            ",83,"
Echo (Species Intervention #6609, #2)
",/book/show/15992880-echo
 4.28 avg rating — 93 ratings,"
score: 1,495,
              and
16 people voted
               
              
            ",84,"
Hannah's Stolen Men (The Men of Space Station One, #10)
",/book/show/21409707-hannah-s-stolen-men
" 3.99 avg rating — 366,089 ratings","
score: 1,461,
              and
16 people voted
               
              
            ",85,"
Delirium (Delirium, #1)
",/book/show/11614718-delirium
 4.91 avg rating — 56 ratings,"
score: 1,458,
              and
16 people voted
               
              
            ",86,"
A Forgotten Kitten (Sea-anan Saga, #2)
",/book/show/17878961-a-forgotten-kitten
 3.86 avg rating — 134 ratings,"
score: 1,455,
              and
16 people voted
               
              
            ",87,"
The Ranchers' Bride (The Men of Space Station One, #2)
",/book/show/13376014-the-ranchers-bride
" 4.04 avg rating — 3,160 ratings","
score: 1,420,
              and
18 people voted
               
              
            ",88,"
Remnant Population
",/book/show/96284.Remnant_Population
" 4.01 avg rating — 4,504 ratings","
score: 1,380,
              and
15 people voted
               
              
            ",89,"
The V Girl
",/book/show/25437891-the-v-girl
" 3.91 avg rating — 9,782 ratings","
score: 1,323,
              and
18 people voted
               
              
            ",90,"
The Word for World is Forest
",/book/show/276767.The_Word_for_World_is_Forest
" 3.74 avg rating — 11,925 ratings","
score: 1,316,
              and
15 people voted
               
              
            ",91,"
Grimspace (Sirantha Jax, #1)
",/book/show/1828067.Grimspace
" 4.03 avg rating — 3,338 ratings","
score: 1,301,
              and
16 people voted
               
              
            ",92,"
The Wind's Twelve Quarters
",/book/show/77289.The_Wind_s_Twelve_Quarters
" 4.05 avg rating — 57,864 ratings","
score: 1,285,
              and
16 people voted
               
              
            ",93,"
His Majesty's Dragon (Temeraire, #1)
",/book/show/28876.His_Majesty_s_Dragon
 3.82 avg rating — 116 ratings,"
score: 1,278,
              and
14 people voted
               
              
            ",94,"
The Carpenters' Helper (The Men of Space Station One, #5)
",/book/show/13518942-the-carpenters-helper
" 4.19 avg rating — 3,328 ratings","
score: 1,240,
              and
16 people voted
               
              
            ",95,"
Inheritor (Foreigner, #3)
",/book/show/57015.Inheritor
" 4.17 avg rating — 3,717 ratings","
score: 1,197,
              and
16 people voted
               
              
            ",96,"
Invader (Foreigner, #2)
",/book/show/57014.Invader
" 3.78 avg rating — 103,428 ratings","
score: 1,174,
              and
13 people voted
               
              
            ",97,"
Across the Universe (Across the Universe, #1)
",/book/show/8235178-across-the-universe
 4.16 avg rating — 97 ratings,"
score: 1,170,
              and
13 people voted
               
              
            ",98,"
A Lost Kitten (Sea-anan Saga, #1)
",/book/show/16029924-a-lost-kitten
 3.85 avg rating — 111 ratings,"
score: 1,169,
              and
13 people voted
               
              
            ",99,"
Love Between the Hired Hands (The Men of Space Station One, #4)
",/book/show/13482469-love-between-the-hired-hands
" 3.83 avg rating — 3,244 ratings","
score: 1,155,
              and
16 people voted
               
              
            ",100,"
Ammonite
",/book/show/180270.Ammonite
